Hotel_ID,hotel_name,City,ADDRESS
976A24F8-0780-EF11-81A1-005056816226,מלון סי טאואר- ישרוטל ניהול מלונות בע"מ,תל אביב - יפו,הירקון 78
9B6A24F8-0780-EF11-81A1-005056816226,מלון לגונה  - ישרוטל בע"מ,אילת,החוף הצפוני 1
9D6A24F8-0780-EF11-81A1-005056816226,מלון יערות הכרמל - ישרוטל ניהול מלונות בע"מ,בית אורן,הבונים 1
9F6A24F8-0780-EF11-81A1-005056816226,מלון אוריינט - ישרוטל ניהול מלונות בע"מ,ירושלים,עמק רפאים 3
A16A24F8-0780-EF11-81A1-005056816226,מלון נבו - ישרוטל ניהול מלונות בע"מ,נווה זוהר,עין בוקק 1
A36A24F8-0780-EF11-81A1-005056816226,די בי מלונות בעמ,תל אביב - יפו,בן יהודה 14
A56A24F8-0780-EF11-81A1-005056816226,מלון אוליבייה בע"מ,נוף הגליל,דרך הציונות 29
A76A24F8-0780-EF11-81A1-005056816226,מלון אמיליס,טבריה,שדרות אליעזר קלפן 1
A96A24F8-0780-EF11-81A1-005056816226,רויאל טאור הוטל בעמ,נווה זוהר,עין בוקק 8693
AB6A24F8-0780-EF11-81A1-005056816226,מלונית בית קטן בעמ,ירושלים,יהודה 1
AD6A24F8-0780-EF11-81A1-005056816226,מלונית בית ברחביה בע"מ,ירושלים,אבן עזרא 20
B16A24F8-0780-EF11-81A1-005056816226,מלונות לב דוד בעמ  מלון "עץ הזית",ירושלים,סנט ג'ורג' 23
B36A24F8-0780-EF11-81A1-005056816226,מלון דן פנורמה אילת,אילת,החוף הצפוני 1
B56A24F8-0780-EF11-81A1-005056816226,מלון דן כרמל, חיפה,חיפה,שדרות הנשיא 85
B76A24F8-0780-EF11-81A1-005056816226,מלון דן פנורמה תל אביב,תל אביב - יפו,קויפמן 10
B96A24F8-0780-EF11-81A1-005056816226,מלון דן פנורמה ירושלים,ירושלים,קרן היסוד 39
BB6A24F8-0780-EF11-81A1-005056816226,דן בוטיק ירושלים,ירושלים,דרך חברון 31
BD6A24F8-0780-EF11-81A1-005056816226,מלון דן אכדיה בע"מ,הרצליה,שדרות אלי לנדאו 122
BF6A24F8-0780-EF11-81A1-005056816226,דן אילת,אילת,הים 4
C16A24F8-0780-EF11-81A1-005056816226,מלון דן קיסריה,קיסריה, 
C36A24F8-0780-EF11-81A1-005056816226,ח.ק. קמחי נכסים והשקעות בע"מ,ראש פינה,החצב 33
C56A24F8-0780-EF11-81A1-005056816226,מלון לב העיר (אמ.טי) בע"מ,תל אביב - יפו,טשרניחובסקי 17
C76A24F8-0780-EF11-81A1-005056816226,איביס סטיילס ירושלים מרכז העיר,ירושלים,בן יהודה 4
C96A24F8-0780-EF11-81A1-005056816226,מלון איביס ירושלים מרכז העיר,ירושלים,יצחק אלישר 4
CB6A24F8-0780-EF11-81A1-005056816226,רוקסון דזרט ערד,ערד,מואב 112
CD6A24F8-0780-EF11-81A1-005056816226,sun sea center,אילת,שדרות התמרים 37
CF6A24F8-0780-EF11-81A1-005056816226,מלון פינקה בע"מ,באר שבע,סמילנסקי 52
D16A24F8-0780-EF11-81A1-005056816226,לוינסקי מרקט הוטל,תל אביב - יפו,לוינסקי 64
D36A24F8-0780-EF11-81A1-005056816226,קלאב אין - קלאב הוטל ניהול (1996) בע"מ,אילת,איזמרגד 10
D76A24F8-0780-EF11-81A1-005056816226,מלון גני שלמה המלך נתניה בע"מ,נתניה,המעפילים 18
D96A24F8-0780-EF11-81A1-005056816226,תל אביב הקטנה,תל אביב - יפו,יהודה הלוי 51
DD6A24F8-0780-EF11-81A1-005056816226,ניהול נכסים מלונאים .ש.ר.מ   ( משכנות רות דניאל ),תל אביב - יפו,שדרות ירושלים 47
DF6A24F8-0780-EF11-81A1-005056816226,הבית של ויטל,רחובות,הרצל 168
E36A24F8-0780-EF11-81A1-005056816226,מדנס בתי דירות שותפות מוגבלת - "דירות בן יהודה",תל אביב - יפו,בן-יהודה 119
E76A24F8-0780-EF11-81A1-005056816226,בית הארחה נווה קייט,מגדל,נוף כנרת 31
EB6A24F8-0780-EF11-81A1-005056816226,אתרים סוויט בע"מ,תל אביב - יפו,הירקון 165
ED6A24F8-0780-EF11-81A1-005056816226,בית הארחה ניקולייסונס בע"מ,ירושלים,עומר בן אל ח'טיב 55
F16A24F8-0780-EF11-81A1-005056816226,לתייר בע"מ - מלון הגליל,נצרת,פאולוס השישי 65
F36A24F8-0780-EF11-81A1-005056816226,תיירות מרום גולן בע"מ,מרום גולן,מרום גולן 1
F56A24F8-0780-EF11-81A1-005056816226,ק.ע.ג.מ מבנים ואחזקות,נתניה,קרליבך 4
F96A24F8-0780-EF11-81A1-005056816226,מלון בוטיק אדמה (רוג'ר מצפה בע"מ),מצפה רמון,הר קירטון 7 1
FB6A24F8-0780-EF11-81A1-005056816226,אקליפטוס אירוח ונופש,טבריה,אקליפטוס 102
FD6A24F8-0780-EF11-81A1-005056816226,מלון ריץ קרלטון הרצליה,הרצליה,השונית 4
FF6A24F8-0780-EF11-81A1-005056816226,נחשולים קייט ונופש,נחשולים,ד.נ חוף הכרמל 3081
016B24F8-0780-EF11-81A1-005056816226,מלון שירת הים בניהול משה אוחנה יזום השקעות ותיירות,טבריה,הירדן 1
036B24F8-0780-EF11-81A1-005056816226,מלון דירות שינקין 10 תל אביב,תל אביב - יפו,שינקין 10
056B24F8-0780-EF11-81A1-005056816226,ביר גארדן הוטל,תל אביב - יפו,יונה הנביא 35
076B24F8-0780-EF11-81A1-005056816226,מלון דירות יונה הנביא 14 תל אביב,תל אביב - יפו,יונה הנביא 14
096B24F8-0780-EF11-81A1-005056816226,סנטרל ביץ הוטל,תל אביב - יפו,רציף הרברט סמואל 78
0B6B24F8-0780-EF11-81A1-005056816226,מלון סוויטות בן יהודה 130 תל אביב,תל אביב - יפו,בן יהודה 130
0D6B24F8-0780-EF11-81A1-005056816226,מלון דירות אלנבי 36 תל אביב,תל אביב - יפו,אלנבי 36
0F6B24F8-0780-EF11-81A1-005056816226,מלון דירות הרב קוק 5,תל אביב - יפו,הרב קוק 5
116B24F8-0780-EF11-81A1-005056816226,מלון נס תל אביב,תל אביב - יפו,נס ציונה 10
1B6B24F8-0780-EF11-81A1-005056816226,עמותת התיירות עין הוד,עין הוד,מרכז הכפר 1
236B24F8-0780-EF11-81A1-005056816226,מלון דירות לב ירושלים בעמ,ירושלים,המלך ג'ורג' 18
256B24F8-0780-EF11-81A1-005056816226,פרימה לינק,פתח תקווה,מוטה גור 4
276B24F8-0780-EF11-81A1-005056816226,מלון ליטוב ירושלים,ירושלים,הנביאים 43
316B24F8-0780-EF11-81A1-005056816226,ישתר בע"מ מלון טיבריא,טבריה,הנוטר 17
356B24F8-0780-EF11-81A1-005056816226,מלון ברדיצ'בסקי,תל אביב - יפו,ברדיצ'בסקי 14
376B24F8-0780-EF11-81A1-005056816226,כפר הנופש משאבים - קיבוץ משאבי שדה,משאבי שדה,הגבעה 1
3F6B24F8-0780-EF11-81A1-005056816226,ורד הגליל - ורד הגליל בע"מ,כורזים,חוות ורד הגליל 1
416B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו סיטי טאוור,רמת גן,זיסמן שלום 14
436B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ  לאונרדו מידטאון תא,תל אביב - יפו,הרכבת 29
456B24F8-0780-EF11-81A1-005056816226,מלונות פתאל גורדון ביץ,תל אביב - יפו,אליעזר פרי 14
476B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ -לאונרדו קלאב יה"מ,נווה זוהר,ד.נ. ים המלח 1
496B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ - לאונרדו נגב באר שבע,באר שבע,הנרייטה סולד 4
4B6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ - לאונרדו אין ים המלח,נווה זוהר,ד.נ. ים המלח 4
